Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2022.06.16 20:37:31.3098,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.15,25.73,33,25.32,2015/10/18,00:00:17,0,0,-17,0,
2022.06.16 20:37:31.6089,0.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.61,19,38.5,20.98,2022/06/16,17:02:10,68.6848852,60.8923753,-63.713,5,
2022.06.16 20:37:31.6405,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.66,18.96,38.5,20.97,2022/06/16,17:02:11,68.6848705,60.8923603,-67.588,5,
2022.06.16 20:37:31.6728,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.64,19.03,38.6,20.97,2022/06/16,17:02:12,68.6848533,60.8923573,-64.92,5,
2022.06.16 20:37:31.6957,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.62,19.06,38.7,20.95,2022/06/16,17:02:13,68.6849729,60.8923784,-71.597,5,
2022.06.16 20:37:31.7207,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.66,19.08,38.9,20.94,2022/06/16,17:02:14,68.684864,60.892369,-66.563,5,
2022.06.16 20:37:31.7507,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.64,19.04,39.2,20.89,2022/06/16,17:02:15,68.6846292,60.8923471,-55.238,5,
2022.06.16 20:37:31.7667,0.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.62,19.04,39.4,20.89,2022/06/16,17:02:16,68.6847208,60.8923529,-58.909,5,
2022.06.16 20:37:31.7982,0.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.65,19.05,39.6,20.85,2022/06/16,17:02:17,68.6846986,60.8923475,-57.391,5,
2022.06.16 20:37:31.8143,0.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.69,18.99,39.9,20.83,2022/06/16,17:02:18,68.6847177,60.8923473,-57.942,5,
2022.06.16 20:37:31.8462,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.65,19.02,40.1,20.82,2022/06/16,17:02:19,68.6846756,60.8923433,-55.942,5,
2022.06.16 20:37:31.8783,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.64,18.93,40.2,20.81,2022/06/16,17:02:20,68.6846359,60.8923393,-54.113,5,
2022.06.16 20:37:31.8959,0.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.68,18.97,40.2,20.81,2022/06/16,17:02:21,68.68458,60.8923348,-51.419,5,
2022.06.16 20:37:31.9280,0.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.68,18.99,40.2,20.79,2022/06/16,17:02:22,68.6845265,60.8923287,-48.675,5,
2022.06.16 20:37:31.9600,0.650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.69,18.98,40.2,20.78,2022/06/16,17:02:23,68.684511,60.8923271,-48.214,5,
2022.06.16 20:37:31.9786,0.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.65,18.89,40.1,20.75,2022/06/16,17:02:24,68.6844759,60.8923238,-46.64,5,
2022.06.16 20:37:31.9969,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.68,18.72,40,20.72,2022/06/16,17:02:25,68.6844672,60.8923234,-46.341,5,
2022.06.16 20:37:32.0292,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.66,18.68,39.9,20.71,2022/06/16,17:02:26,68.6844658,60.8923234,-46.359,5,
2022.06.16 20:37:32.0611,0.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.68,18.61,39.8,20.7,2022/06/16,17:02:27,68.6844703,60.892324,-46.578,5,
